AM,Amazonas
AM,Amazonas,Manaus
AM,Amazonas,Manaus,Adianópolis
AM,Amazonas,Manaus,Adrianápolis
AM,Amazonas,Manaus,Adrianópolis
AM,Amazonas,Manaus,Aleixo
AM,Amazonas,Manaus,Alfredo Nascimento
AM,Amazonas,Manaus,Alvorada
AM,Amazonas,Manaus,Amazonino Mendes
AM,Amazonas,Manaus,Aparecida
AM,Amazonas,Manaus,Área Rural
AM,Amazonas,Manaus,Armando Mendes
AM,Amazonas,Manaus,Bairro da Paz
AM,Amazonas,Manaus,Betânia
AM,Amazonas,Manaus,Bom Jardim
AM,Amazonas,Manaus,Braga Mendes
AM,Amazonas,Manaus,Cachoeirinha
AM,Amazonas,Manaus,Campo Dourado
AM,Amazonas,Manaus,Campos Elíseos
AM,Amazonas,Manaus,Campos Elíseos  II
AM,Amazonas,Manaus,Caramuru
AM,Amazonas,Manaus,Castanheiras
AM,Amazonas,Manaus,CD Res Int P Negra
AM,Amazonas,Manaus,Centro
AM,Amazonas,Manaus,Chapada
AM,Amazonas,Manaus,Ciadade Nova
AM,Amazonas,Manaus,Cidade Alta
AM,Amazonas,Manaus,Cidade de Deus
AM,Amazonas,Manaus,Cidade Leste
AM,Amazonas,Manaus,Cidade Nova
AM,Amazonas,Manaus,Cidade Nova 1
AM,Amazonas,Manaus,Cidade Nova 5 Mutirão
AM,Amazonas,Manaus,Cidade Nova III
AM,Amazonas,Manaus,Cj 31 de Marco
AM,Amazonas,Manaus,Cj A Virgílio Fº
AM,Amazonas,Manaus,Cj Américo Medeiros
AM,Amazonas,Manaus,Cj Bancários S Jorge
AM,Amazonas,Manaus,Cj Beija Flor II
AM,Amazonas,Manaus,Cj Canaranas
AM,Amazonas,Manaus,Cj Celetramazon
AM,Amazonas,Manaus,Cj Cidadão
AM,Amazonas,Manaus,Cj Cophasa
AM,Amazonas,Manaus,Cj Fca Mendes II
AM,Amazonas,Manaus,Cj Hab Sgt Pantoja
AM,Amazonas,Manaus,Cj Ipase
AM,Amazonas,Manaus,Cj Jardim Asteca
AM,Amazonas,Manaus,Cj Jardim Eden
AM,Amazonas,Manaus,Cj Jardim Juruá
AM,Amazonas,Manaus,Cj Jardim Oriente
AM,Amazonas,Manaus,Cj Jardim Uirapuru
AM,Amazonas,Manaus,Cj Kissia
AM,Amazonas,Manaus,Cj Manauense
AM,Amazonas,Manaus,Cj Nova República II
