AP,Amap√°
AP,Amap√°,Macap·
AP,Amap√°,Macap·,Aeroporto
AP,Amap√°,Macap·,Alvorada
AP,Amap√°,Macap·,Arax·
AP,Amap√°,Macap·,¡rea Portu·ria
AP,Amap√°,Macap·,B Loteamento AÁai
AP,Amap√°,Macap·,Beirol
AP,Amap√°,Macap·,BonÈ Azul
AP,Amap√°,Macap·,Brasil Novo
AP,Amap√°,Macap·,Buritizal
AP,Amap√°,Macap·,Cabralzinho
AP,Amap√°,Macap·,Campina
AP,Amap√°,Macap·,Cental
AP,Amap√°,Macap·,Central
AP,Amap√°,Macap·,Centro
AP,Amap√°,Macap·,Centrp
AP,Amap√°,Macap·,Cidade Nova
AP,Amap√°,Macap·,Cj Alfaville
AP,Amap√°,Macap·,Cj Embrapa
AP,Amap√°,Macap·,Cj Hospital de Base
AP,Amap√°,Macap·,Cj Marabaixo
AP,Amap√°,Macap·,Cj Sol Nascente
AP,Amap√°,Macap·,CongÛs
AP,Amap√°,Macap·,Conjunto AÁaÌ
AP,Amap√°,Macap·,Conjunto Barra do Cear·
AP,Amap√°,Macap·,Conjunto Ego
AP,Amap√°,Macap·,Conjunto Laurindo Banha
AP,Amap√°,Macap·,Coqueiro
AP,Amap√°,Macap·,CoraÁ„o 
AP,Amap√°,Macap·,Cuba de Asfalto
AP,Amap√°,Macap·,Culba de Asfalto
AP,Amap√°,Macap·,Fazendinha
AP,Amap√°,Macap·,Fortaleza
AP,Amap√°,Macap·,Hospitalidade
AP,Amap√°,Macap·,Infraero i
AP,Amap√°,Macap·,Infraero ii
AP,Amap√°,Macap·,Jardim 1
AP,Amap√°,Macap·,Jardim Equatorial
AP,Amap√°,Macap·,Jardim Felicidade
AP,Amap√°,Macap·,Jardim Felicidade I
AP,Amap√°,Macap·,Jardim Felicidade II
AP,Amap√°,Macap·,Jardim Marco 0
AP,Amap√°,Macap·,Jardim Marco Zero
AP,Amap√°,Macap·,Jd. Equatorial
AP,Amap√°,Macap·,Jesus de NazarÈ
AP,Amap√°,Macap·,Juli„o Ramos
AP,Amap√°,Macap·,Jurunas
AP,Amap√°,Macap·,Laguinho
AP,Amap√°,Macap·,Lot Morada das Palmeiras
AP,Amap√°,Macap·,Loteamento Alencar
AP,Amap√°,Macap·,Loteamento Amazonas
AP,Amap√°,Macap·,Lto Murici
AP,Amap√°,Macap·,Marabaixo 4
AP,Amap√°,Macap·,Marambaia
AP,Amap√°,Macap·,Marco
AP,Amap√°,Macap·,Marco 0
AP,Amap√°,Macap·,Marco Zero
AP,Amap√°,Macap·,Muca
AP,Amap√°,Macap·,Nova EsperanÁa
AP,Amap√°,Macap·,Novo Buritizal
AP,Amap√°,Macap·,Novo Horizonte
AP,Amap√°,Macap·,Pacoval
AP,Amap√°,Macap·,Pantanal
AP,Amap√°,Macap·,ParaÌso
AP,Amap√°,Macap·,Pascoval
AP,Amap√°,Macap·,Pedreira
AP,Amap√°,Macap·,Pedrinhas
AP,Amap√°,Macap·,PerpÈtuo Socorro
AP,Amap√°,Macap·,Reduto
AP,Amap√°,Macap·,Renascer
AP,Amap√°,Macap·,Res Irm„os Platon
AP,Amap√°,Macap·,Rural
AP,Amap√°,Macap·,Santa InÍs
AP,Amap√°,Macap·,Santa Rita
AP,Amap√°,Macap·,S„o L·zaro
AP,Amap√°,Macap·,Teleamap·
AP,Amap√°,Macap·,Trem
AP,Amap√°,Macap·,Umarizal
AP,Amap√°,Macap·,Universidade
AP,Amap√°,Macap·,Zer„o
AP,Amap√°,¡gua Branca do Amapari
AP,Amap√°,¡gua Branca do Amapari,Centro
AP,Amap√°,¡gua Fria
AP,Amap√°,¡gua Fria,¡gua Fria
AP,Amap√°,Aldeia IndÌgena Kamarum„
AP,Amap√°,Aldeia IndÌgena Kamarum„,Centro
AP,Amap√°,Aldeia KumenÍ
AP,Amap√°,Aldeia KumenÍ,Centro
AP,Amap√°,Alojamento Lataia
AP,Amap√°,Alojamento Lataia,Centro
AP,Amap√°,Amap·
AP,Amap√°,Amap·,Bom Jardim
AP,Amap√°,Amap·,Centro
AP,Amap√°,Amap·,Jesus de NazarÈ
AP,Amap√°,Amap·,Nova EsperanÁa
AP,Amap√°,Anauerapucu - Santana
AP,Amap√°,CachaÁo
AP,Amap√°,CachaÁo,Centro
AP,Amap√°,CalÁoene
AP,Amap√°,CalÁoene,Centro
AP,Amap√°,CalÁoene,EstaÁ„o
AP,Amap√°,Carnot
AP,Amap√°,Carnot,Centro
AP,Amap√°,Carv„o
AP,Amap√°,Clevel‚ndia do Norte
AP,Amap√°,Clevel‚ndia do Norte,Clevelandia Norte
AP,Amap√°,Corre ¡gua do Rio Piririm
AP,Amap√°,Cupixi
AP,Amap√°,Curicaca
AP,Amap√°,Cutias
AP,Amap√°,Cutias,Cutias
AP,Amap√°,Cutias,EstaÁ„o
AP,Amap√°,Cutias,Matinha
AP,Amap√°,Ferreira Gomes
AP,Amap√°,Ferreira Gomes,Central
AP,Amap√°,Ferreira Gomes,EstaÁ„o
AP,Amap√°,Ferreira Gomes,Ferreira Gomes
AP,Amap√°,Gurupora
AP,Amap√°,Gurupora,Centro
AP,Amap√°,IgarapÈ do Lago
