BA,Bahia
BA,Bahia,Salvador
BA,Bahia,Salvador,7 de Setembro
BA,Bahia,Salvador,7 Portas
BA,Bahia,Salvador,Açude de Brotas 
BA,Bahia,Salvador,Acupe
BA,Bahia,Salvador,Acupe de Brotas
BA,Bahia,Salvador,Aeroporto
BA,Bahia,Salvador,Aflitos
BA,Bahia,Salvador,Água de Meninos
BA,Bahia,Salvador,Águas Claras
BA,Bahia,Salvador,Alphaville
BA,Bahia,Salvador,Alphaville I
BA,Bahia,Salvador,Alto Couto
BA,Bahia,Salvador,Alto Cruz
BA,Bahia,Salvador,Alto da Terezinha
BA,Bahia,Salvador,Alto das Pombas
BA,Bahia,Salvador,Alto de Coutos
BA,Bahia,Salvador,Alto do Cabrito
BA,Bahia,Salvador,Alto do Coqueirinho
BA,Bahia,Salvador,Alto do Itaigara
BA,Bahia,Salvador,Alto do Peru
BA,Bahia,Salvador,Amaralina
BA,Bahia,Salvador,Ampliacao
BA,Bahia,Salvador,Antônio Conselheiro
BA,Bahia,Salvador,Aratu
BA,Bahia,Salvador,Arembepe
BA,Bahia,Salvador,Arenoso
BA,Bahia,Salvador,Armação
BA,Bahia,Salvador,Arraial do Retiro
BA,Bahia,Salvador,Atalaia
BA,Bahia,Salvador,Bairro da Paz
BA,Bahia,Salvador,Baixa de Quintas
BA,Bahia,Salvador,Baixa do Fiscal
BA,Bahia,Salvador,Baixa do Sapateiro
BA,Bahia,Salvador,Baixa dos Sapateiros
BA,Bahia,Salvador,Barbalho
BA,Bahia,Salvador,Barra
BA,Bahia,Salvador,Barra Avenida
BA,Bahia,Salvador,Barra do Gil
BA,Bahia,Salvador,Barra Gramame
BA,Bahia,Salvador,Barragem de Ipitanga
BA,Bahia,Salvador,Barreiras
BA,Bahia,Salvador,Barreirinhas
BA,Bahia,Salvador,Barris
BA,Bahia,Salvador,Barroquinha
BA,Bahia,Salvador,Barros Reis
BA,Bahia,Salvador,Bela Vista do Lobato
BA,Bahia,Salvador,Boa Viagem
BA,Bahia,Salvador,Boa Vista de Brotas
BA,Bahia,Salvador,Boa Vista de São Caetano
BA,Bahia,Salvador,Boa Vista do Lobato
BA,Bahia,Salvador,Boca da Mata
BA,Bahia,Salvador,Boca da Mata de Valéria
BA,Bahia,Salvador,Boca do Rio
BA,Bahia,Salvador,Bomfim
BA,Bahia,Salvador,Bonfim
BA,Bahia,Salvador,Bonocô
BA,Bahia,Salvador,Bonocô-Brotas
BA,Bahia,Salvador,Brasil Gás
BA,Bahia,Salvador,Brasilgás
BA,Bahia,Salvador,Brotas
BA,Bahia,Salvador,Brotas / Cidadela
BA,Bahia,Salvador,Brotas Parque Bela Vista
BA,Bahia,Salvador,Buraquinho
BA,Bahia,Salvador,Bx do Bonfim
BA,Bahia,Salvador,C. Das Árvores
BA,Bahia,Salvador,Cabrobó
BA,Bahia,Salvador,Cabula
BA,Bahia,Salvador,Cabula vi
BA,Bahia,Salvador,Cabula Vl
BA,Bahia,Salvador,Caixa d´Água
BA,Bahia,Salvador,Caixa d´Água
BA,Bahia,Salvador,Cajazeira 10
BA,Bahia,Salvador,Cajazeira 8
BA,Bahia,Salvador,Cajazeira V
