AP,Amapá
AP,Amapá,Macapá
AP,Amapá,Macapá,Aeroporto
AP,Amapá,Macapá,Alvorada
AP,Amapá,Macapá,Araxá
AP,Amapá,Macapá,Área Portuária
AP,Amapá,Macapá,B Loteamento Açai
AP,Amapá,Macapá,Beirol
AP,Amapá,Macapá,Boné Azul
AP,Amapá,Macapá,Brasil Novo
AP,Amapá,Macapá,Buritizal
AP,Amapá,Macapá,Cabralzinho
AP,Amapá,Macapá,Campina
AP,Amapá,Macapá,Cental
AP,Amapá,Macapá,Central
AP,Amapá,Macapá,Centro
AP,Amapá,Macapá,Centrp
AP,Amapá,Macapá,Cidade Nova
AP,Amapá,Macapá,Cj Alfaville
AP,Amapá,Macapá,Cj Embrapa
AP,Amapá,Macapá,Cj Hospital de Base
AP,Amapá,Macapá,Cj Marabaixo
AP,Amapá,Macapá,Cj Sol Nascente
AP,Amapá,Macapá,Congós
AP,Amapá,Macapá,Conjunto Açaí
AP,Amapá,Macapá,Conjunto Barra do Ceará
AP,Amapá,Macapá,Conjunto Ego
AP,Amapá,Macapá,Conjunto Laurindo Banha
AP,Amapá,Macapá,Coqueiro
AP,Amapá,Macapá,Coração 
AP,Amapá,Macapá,Cuba de Asfalto
AP,Amapá,Macapá,Culba de Asfalto
AP,Amapá,Macapá,Fazendinha
AP,Amapá,Macapá,Fortaleza
AP,Amapá,Macapá,Hospitalidade
AP,Amapá,Macapá,Infraero i
AP,Amapá,Macapá,Infraero ii
AP,Amapá,Macapá,Jardim 1
AP,Amapá,Macapá,Jardim Equatorial
AP,Amapá,Macapá,Jardim Felicidade
AP,Amapá,Macapá,Jardim Felicidade I
AP,Amapá,Macapá,Jardim Felicidade II
AP,Amapá,Macapá,Jardim Marco 0
AP,Amapá,Macapá,Jardim Marco Zero
AP,Amapá,Macapá,Jd. Equatorial
AP,Amapá,Macapá,Jesus de Nazaré
AP,Amapá,Macapá,Julião Ramos
AP,Amapá,Macapá,Jurunas
AP,Amapá,Macapá,Laguinho
AP,Amapá,Macapá,Lot Morada das Palmeiras
AP,Amapá,Macapá,Loteamento Alencar
AP,Amapá,Macapá,Loteamento Amazonas
AP,Amapá,Macapá,Lto Murici
AP,Amapá,Macapá,Marabaixo 4
AP,Amapá,Macapá,Marambaia
AP,Amapá,Macapá,Marco
AP,Amapá,Macapá,Marco 0
AP,Amapá,Macapá,Marco Zero
AP,Amapá,Macapá,Muca
AP,Amapá,Macapá,Nova Esperança
AP,Amapá,Macapá,Novo Buritizal
AP,Amapá,Macapá,Novo Horizonte
AP,Amapá,Macapá,Pacoval
AP,Amapá,Macapá,Pantanal
AP,Amapá,Macapá,Paraíso
AP,Amapá,Macapá,Pascoval
AP,Amapá,Macapá,Pedreira
AP,Amapá,Macapá,Pedrinhas
AP,Amapá,Macapá,Perpétuo Socorro
AP,Amapá,Macapá,Reduto
AP,Amapá,Macapá,Renascer
AP,Amapá,Macapá,Res Irmãos Platon
AP,Amapá,Macapá,Rural
AP,Amapá,Macapá,Santa Inês
AP,Amapá,Macapá,Santa Rita
AP,Amapá,Macapá,São Lázaro
AP,Amapá,Macapá,Teleamapá
AP,Amapá,Macapá,Trem
AP,Amapá,Macapá,Umarizal
AP,Amapá,Macapá,Universidade
AP,Amapá,Macapá,Zerão
AP,Amapá,Água Branca do Amapari
AP,Amapá,Água Branca do Amapari,Centro
AP,Amapá,Água Fria
AP,Amapá,Água Fria,Água Fria
AP,Amapá,Aldeia Indígena Kamarumã
AP,Amapá,Aldeia Indígena Kamarumã,Centro
AP,Amapá,Aldeia Kumenê
AP,Amapá,Aldeia Kumenê,Centro
AP,Amapá,Alojamento Lataia
AP,Amapá,Alojamento Lataia,Centro
AP,Amapá,Amapá
AP,Amapá,Amapá,Bom Jardim
AP,Amapá,Amapá,Centro
AP,Amapá,Amapá,Jesus de Nazaré
AP,Amapá,Amapá,Nova Esperança
AP,Amapá,Anauerapucu - Santana
AP,Amapá,Cachaço
AP,Amapá,Cachaço,Centro
AP,Amapá,Calçoene
AP,Amapá,Calçoene,Centro
AP,Amapá,Calçoene,Estação
AP,Amapá,Carnot
AP,Amapá,Carnot,Centro
AP,Amapá,Carvão
AP,Amapá,Clevelândia do Norte
AP,Amapá,Clevelândia do Norte,Clevelandia Norte
AP,Amapá,Corre Água do Rio Piririm
AP,Amapá,Cupixi
AP,Amapá,Curicaca
AP,Amapá,Cutias
AP,Amapá,Cutias,Cutias
AP,Amapá,Cutias,Estação
AP,Amapá,Cutias,Matinha
AP,Amapá,Ferreira Gomes
AP,Amapá,Ferreira Gomes,Central
AP,Amapá,Ferreira Gomes,Estação
AP,Amapá,Ferreira Gomes,Ferreira Gomes
AP,Amapá,Gurupora
AP,Amapá,Gurupora,Centro
AP,Amapá,Igarapé do Lago
AP,Amapá,Ilha de Santana
AP,Amapá,Ilha de Santana,Centro
AP,Amapá,Itaubal
AP,Amapá,Itaubal,Centro
AP,Amapá,Itaubal,Itaubal Piririm
AP,Amapá,Itaubal - Pracuúba
AP,Amapá,Itaubal - Pracuúba,Centro
AP,Amapá,Laranjal do Jari
AP,Amapá,Laranjal do Jari,Agreste
AP,Amapá,Laranjal do Jari,Castanheira
AP,Amapá,Laranjal do Jari,Centro
AP,Amapá,Laranjal do Jari,Malvina
AP,Amapá,Laranjal do Jari,Mirilandia
AP,Amapá,Laranjal do Jari,Nova Esperanca
AP,Amapá,Laranjal do Jari,Prosperidade
AP,Amapá,Laranjal do Jari,Sagrado Coracao Jesu
AP,Amapá,Laranjal do Jari,Santarem
AP,Amapá,Lourenço
AP,Amapá,Lourenço,Lourenco
AP,Amapá,Macapá
AP,Amapá,Macapá,Aeroporto
AP,Amapá,Macapá,Alvorada
AP,Amapá,Macapá,Araxá
AP,Amapá,Macapá,Área Portuária
AP,Amapá,Macapá,B Loteamento Açai
