CE,Ceará
CE,Ceará,Fortaleza
CE,Ceará,Fortaleza,1 de Março
CE,Ceará,Fortaleza,24 de Março
CE,Ceará,Fortaleza,4 de Julho
CE,Ceará,Fortaleza,4 Varas
CE,Ceará,Fortaleza,4s
CE,Ceará,Fortaleza,8 de Dezembro
CE,Ceará,Fortaleza,Aarão Reis
CE,Ceará,Fortaleza,Abelardo Rocha
CE,Ceará,Fortaleza,Abreulândia
CE,Ceará,Fortaleza,Acaracuzinho
CE,Ceará,Fortaleza,Acrolândia
CE,Ceará,Fortaleza,Aerolândia
CE,Ceará,Fortaleza,Aeronáutica
CE,Ceará,Fortaleza,Aeroporto
CE,Ceará,Fortaleza,Aeroporto Velho
CE,Ceará,Fortaleza,Água Fria
CE,Ceará,Fortaleza,Água Fria/Ed Queiroz
CE,Ceará,Fortaleza,Água Fria/Ed Queiroz
CE,Ceará,Fortaleza,Água Marinha
CE,Ceará,Fortaleza,Ajuda Mútua
CE,Ceará,Fortaleza,Alagadiço
CE,Ceará,Fortaleza,Alagadiço Novo
CE,Ceará,Fortaleza,Aldeota
CE,Ceará,Fortaleza,Alfa Park
CE,Ceará,Fortaleza,Alm Garcia D'ávila
CE,Ceará,Fortaleza,Alm Tamandaré
CE,Ceará,Fortaleza,Alto Alegre
CE,Ceará,Fortaleza,Alto Boa Vista
CE,Ceará,Fortaleza,Alto Coaçú
CE,Ceará,Fortaleza,Alto da Balança
CE,Ceará,Fortaleza,Alto da Precabura
CE,Ceará,Fortaleza,Alto Jerusalém
CE,Ceará,Fortaleza,Altos
CE,Ceará,Fortaleza,Altos Messejana
CE,Ceará,Fortaleza,Álvaro Weyne
CE,Ceará,Fortaleza,Alvoredo
CE,Ceará,Fortaleza,Amadeu Furtado
CE,Ceará,Fortaleza,Amaralina
CE,Ceará,Fortaleza,Ancuri
CE,Ceará,Fortaleza,Antônio Bezerra
CE,Ceará,Fortaleza,Antônio Correia
CE,Ceará,Fortaleza,Antônio Diogo
CE,Ceará,Fortaleza,Apolo Xi
CE,Ceará,Fortaleza,Aracapé
CE,Ceará,Fortaleza,Araturí
CE,Ceará,Fortaleza,Arianópolis
CE,Ceará,Fortaleza,Arvoredo
CE,Ceará,Fortaleza,Asfan
CE,Ceará,Fortaleza,Atlanta
CE,Ceará,Fortaleza,Atlântico
CE,Ceará,Fortaleza,Autran Nunes
CE,Ceará,Fortaleza,Ayrton Senna
CE,Ceará,Fortaleza,Bairro de Fátima 
CE,Ceará,Fortaleza,Bairro do Meireles
CE,Ceará,Fortaleza,Bancários
CE,Ceará,Fortaleza,Bandeirantes
CE,Ceará,Fortaleza,Barra do Ceará
CE,Ceará,Fortaleza,Barra Mar
CE,Ceará,Fortaleza,Barro Duro
CE,Ceará,Fortaleza,Barrocas
CE,Ceará,Fortaleza,Barroso
CE,Ceará,Fortaleza,Barroso i e ii
CE,Ceará,Fortaleza,Beira Rio
CE,Ceará,Fortaleza,Bela Vista
CE,Ceará,Fortaleza,Benfica
CE,Ceará,Fortaleza,Bicel
CE,Ceará,Fortaleza,Boa Vista
CE,Ceará,Fortaleza,Bom Futuro
CE,Ceará,Fortaleza,Bom Jardim
CE,Ceará,Fortaleza,Bons Amigos
CE,Ceará,Fortaleza,Bonsucesso
CE,Ceará,Fortaleza,Bontese
CE,Ceará,Fortaleza,Br 116
CE,Ceará,Fortaleza,Br 166 ii
CE,Ceará,Fortaleza,Cabral
CE,Ceará,Fortaleza,Caça e Pesca
CE,Ceará,Fortaleza,Cachoeirinha
CE,Ceará,Fortaleza,Cacimbas
CE,Ceará,Fortaleza,Cais do Porto
CE,Ceará,Fortaleza,Cajazeiras
CE,Ceará,Fortaleza,Cajazeiras i
CE,Ceará,Fortaleza,Cajazeiras ii
CE,Ceará,Fortaleza,Cajueiro
CE,Ceará,Fortaleza,Cambeba
CE,Ceará,Fortaleza,Cameba
CE,Ceará,Fortaleza,Campo dos Ingleses
CE,Ceará,Fortaleza,Campo Ouro Preto
CE,Ceará,Fortaleza,Campos Furtado
CE,Ceará,Fortaleza,Canindezinho
CE,Ceará,Fortaleza,Canto Verde
CE,Ceará,Fortaleza,Carlito Pamplona
CE,Ceará,Fortaleza,Casas Populares
CE,Ceará,Fortaleza,Castelão
CE,Ceará,Fortaleza,Castelo Encantado
CE,Ceará,Fortaleza,Caucaia
CE,Ceará,Fortaleza,Ceará
CE,Ceará,Fortaleza,Ceará i e ii Etapa
CE,Ceará,Fortaleza,Ceará iv Etapa
CE,Ceará,Fortaleza,Cento
CE,Ceará,Fortaleza,Centro
CE,Ceará,Fortaleza,Centro Sul
CE,Ceará,Fortaleza,Chico Mendes ii
CE,Ceará,Fortaleza,Chico Mendes iii
CE,Ceará,Fortaleza,Cidade 2000
CE,Ceará,Fortaleza,Cidade dos Funcionários
CE,Ceará,Fortaleza,Cidade Ecológica
CE,Ceará,Fortaleza,Cidade Leste
CE,Ceará,Fortaleza,Cidade Nova
CE,Ceará,Fortaleza,Cidade Sul
CE,Ceará,Fortaleza,Cidade Verde
CE,Ceará,Fortaleza,Cinco s
CE,Ceará,Fortaleza,Cj Pfto José Walter
CE,Ceará,Fortaleza,Cj Plnt do Pici
CE,Ceará,Fortaleza,Cj Pref Jose Walter
CE,Ceará,Fortaleza,Cj S Cristóvão
CE,Ceará,Fortaleza,Cj S Miguel
CE,Ceará,Fortaleza,Cj S Pedro
CE,Ceará,Fortaleza,Coaçú
CE,Ceará,Fortaleza,Cocó
CE,Ceará,Fortaleza,Colina
CE,Ceará,Fortaleza,Com Carlos Chagas
CE,Ceará,Fortaleza,Comércio
CE,Ceará,Fortaleza,Cond Estrela da Manhã
CE,Ceará,Fortaleza,Conjunto Cantinho do Céu
CE,Ceará,Fortaleza,Conjunto Ceará 1ª e 2ª Et
CE,Ceará,Fortaleza,Conjunto Ceará 1ª e 2ª Etapa
CE,Ceará,Fortaleza,Conjunto Ceará 4ª Etapa
CE,Ceará,Fortaleza,Conjunto Jereissati I
CE,Ceará,Fortaleza,Conjunto Jereissati II
CE,Ceará,Fortaleza,Conjunto Luciano
CE,Ceará,Fortaleza,Conjunto Residencial Hermes Pereira
CE,Ceará,Fortaleza,Coração Jesus
CE,Ceará,Fortaleza,Couto Fernandes
