PB,Paraíba
PB,Paraíba,João Pessoa
PB,Paraíba,João Pessoa,Aeroclube
PB,Paraíba,João Pessoa,Aeroporto
PB,Paraíba,João Pessoa,Afogados
PB,Paraíba,João Pessoa,Água Fria
PB,Paraíba,João Pessoa,Alagadiço Novo
PB,Paraíba,João Pessoa,Altiplano
PB,Paraíba,João Pessoa,Altiplano Cabo Branco
PB,Paraíba,João Pessoa,Alto Branco
PB,Paraíba,João Pessoa,Alto Céu
PB,Paraíba,João Pessoa,Anatólia
PB,Paraíba,João Pessoa,At. Mateus
PB,Paraíba,João Pessoa,Bairro do Ipês
PB,Paraíba,João Pessoa,Bancários
PB,Paraíba,João Pessoa,Barra Grande
PB,Paraíba,João Pessoa,Beira Rio
PB,Paraíba,João Pessoa,Benedito Bentes
PB,Paraíba,João Pessoa,Bessa
PB,Paraíba,João Pessoa,Bisamar
PB,Paraíba,João Pessoa,Boa Vista
PB,Paraíba,João Pessoa,Bodocongo
PB,Paraíba,João Pessoa,Bom Pastor
PB,Paraíba,João Pessoa,Brismar
PB,Paraíba,João Pessoa,Cabedelo
PB,Paraíba,João Pessoa,Cabo Branco
PB,Paraíba,João Pessoa,Cajueiro
PB,Paraíba,João Pessoa,Campo Grande
PB,Paraíba,João Pessoa,Castelo Branco
PB,Paraíba,João Pessoa,Castelo Branco i
PB,Paraíba,João Pessoa,Castelo Branco ii
PB,Paraíba,João Pessoa,Castelo Branco III
PB,Paraíba,João Pessoa,Catolé
PB,Paraíba,João Pessoa,Cenro
PB,Paraíba,João Pessoa,Centro
PB,Paraíba,João Pessoa,Centro/Torre
PB,Paraíba,João Pessoa,Centro/Torre
PB,Paraíba,João Pessoa,Cidade Colibri
PB,Paraíba,João Pessoa,Cidade Colibris
PB,Paraíba,João Pessoa,Conde
PB,Paraíba,João Pessoa,Conjunto Omega
PB,Paraíba,João Pessoa,Cordão Encarnado
PB,Paraíba,João Pessoa,Costa e Silva
PB,Paraíba,João Pessoa,Cristo
PB,Paraíba,João Pessoa,Cristo Redentor
PB,Paraíba,João Pessoa,Crus das Armas
PB,Paraíba,João Pessoa,Cruz das Almas
PB,Paraíba,João Pessoa,Cuia
PB,Paraíba,João Pessoa,Didtrito Industrial 
PB,Paraíba,João Pessoa,Dinamerica
PB,Paraíba,João Pessoa,Distrito Ind. Mangabeira
PB,Paraíba,João Pessoa,Distrito Industrial
PB,Paraíba,João Pessoa,Distrito Industrial Mangabeira
PB,Paraíba,João Pessoa,Distrito Mecânico
PB,Paraíba,João Pessoa,Ernani Sátiro
PB,Paraíba,João Pessoa,Ernesto Geisel
PB,Paraíba,João Pessoa,Esplanada
PB,Paraíba,João Pessoa,Estados
PB,Paraíba,João Pessoa,Expedicionários
PB,Paraíba,João Pessoa,Funcionários
PB,Paraíba,João Pessoa,Funcionários II
PB,Paraíba,João Pessoa,Funcionários III
PB,Paraíba,João Pessoa,Funcionários IV
PB,Paraíba,João Pessoa,Geisel
PB,Paraíba,João Pessoa,Gramame
PB,Paraíba,João Pessoa,Grotão
PB,Paraíba,João Pessoa,Ilha do Bispo
PB,Paraíba,João Pessoa,Indústrias
PB,Paraíba,João Pessoa,Intermares
PB,Paraíba,João Pessoa,Ipês
PB,Paraíba,João Pessoa,Jaguaribe
PB,Paraíba,João Pessoa,Jardim 13 de Maio
PB,Paraíba,João Pessoa,Jardim Américo
PB,Paraíba,João Pessoa,Jardim Cepol
PB,Paraíba,João Pessoa,Jardim CID Universitária
PB,Paraíba,João Pessoa,Jardim Continental
PB,Paraíba,João Pessoa,Jardim das Acácias
PB,Paraíba,João Pessoa,Jardim Esperança
PB,Paraíba,João Pessoa,Jardim Luna
PB,Paraíba,João Pessoa,Jardim Oceania
PB,Paraíba,João Pessoa,Jardim Planalto
PB,Paraíba,João Pessoa,Jardim São Paulo
PB,Paraíba,João Pessoa,Jardim Tavares
PB,Paraíba,João Pessoa,Jardim Veneza
PB,Paraíba,João Pessoa,João Agripino
PB,Paraíba,João Pessoa,João Paulo II
PB,Paraíba,João Pessoa,Joguaribe
PB,Paraíba,João Pessoa,José Amércio
PB,Paraíba,João Pessoa,José Américo
