RR,Roraima
RR,Roraima,Boa Vista
RR,Roraima,Boa Vista,13 de Setembro
RR,Roraima,Boa Vista,31 de Março
RR,Roraima,Boa Vista,Aerolândia
RR,Roraima,Boa Vista,Aeroporto
RR,Roraima,Boa Vista,Alvorada
RR,Roraima,Boa Vista,Alvorada I
RR,Roraima,Boa Vista,Aparecida
RR,Roraima,Boa Vista,Araceli Souto Maior
RR,Roraima,Boa Vista,Asa Branca
RR,Roraima,Boa Vista,Bela Vista
RR,Roraima,Boa Vista,Buritis
RR,Roraima,Boa Vista,Caçari
RR,Roraima,Boa Vista,Caimbé
RR,Roraima,Boa Vista,Calunga
RR,Roraima,Boa Vista,Cambará
RR,Roraima,Boa Vista,Canaã
RR,Roraima,Boa Vista,Canarinho
RR,Roraima,Boa Vista,Caranã
RR,Roraima,Boa Vista,Cauamé
RR,Roraima,Boa Vista,Centanário
RR,Roraima,Boa Vista,Centenário
RR,Roraima,Boa Vista,Centro
RR,Roraima,Boa Vista,Cidade Jardim
RR,Roraima,Boa Vista,Cidade Satélite
RR,Roraima,Boa Vista,Cinturão Verde
RR,Roraima,Boa Vista,Cj Cidadão
RR,Roraima,Boa Vista,Conjunto Caer
RR,Roraima,Boa Vista,Conjunto Cophasa
RR,Roraima,Boa Vista,Conjunto Jardim Versalles
RR,Roraima,Boa Vista,Conjunto Pricuma I
RR,Roraima,Boa Vista,Conjunto Vila Militar
RR,Roraima,Boa Vista,Distrito Industrial
RR,Roraima,Boa Vista,Doutor Silvio Botelho
RR,Roraima,Boa Vista,Dr Silvio Botelho
RR,Roraima,Boa Vista,Drº Sílvio Botelho
RR,Roraima,Boa Vista,Equatorial
RR,Roraima,Boa Vista,Estados
RR,Roraima,Boa Vista,Francisco c Filho
RR,Roraima,Boa Vista,Gov Aquelino Mota Duarte
RR,Roraima,Boa Vista,Gov Aquilino Mota Duarte(
RR,Roraima,Boa Vista,Gov Aquilino Mota Duarte(DI)
RR,Roraima,Boa Vista,Hélio Campos
RR,Roraima,Boa Vista,Jacarecanga
RR,Roraima,Boa Vista,Jardim Caranã
RR,Roraima,Boa Vista,Jardim Floresta
RR,Roraima,Boa Vista,Jardim Primavera
RR,Roraima,Boa Vista,Jardim Tropical
RR,Roraima,Boa Vista,Jockei Clube
RR,Roraima,Boa Vista,Liberdade
RR,Roraima,Boa Vista,Loteamento Vale do Sinai
RR,Roraima,Boa Vista,Macejana
RR,Roraima,Boa Vista,Mal Rondon
RR,Roraima,Boa Vista,Marco
RR,Roraima,Boa Vista,Mecejana
RR,Roraima,Boa Vista,Nossa Senhora Aparecida
RR,Roraima,Boa Vista,Nova Canaã
RR,Roraima,Boa Vista,Nova Cidade
RR,Roraima,Boa Vista,Novo Horizonte
RR,Roraima,Boa Vista,Operário
RR,Roraima,Boa Vista,Paraviana
RR,Roraima,Boa Vista,Pau da Lima
RR,Roraima,Boa Vista,Pintolândia
RR,Roraima,Boa Vista,Pricumã
RR,Roraima,Boa Vista,Professora Araceli Souto Maior
RR,Roraima,Boa Vista,Psicultura
RR,Roraima,Boa Vista,Raiar Sol
RR,Roraima,Boa Vista,Reg do Monte Cristo
RR,Roraima,Boa Vista,Santa Luzia
RR,Roraima,Boa Vista,Santa Teresa II
RR,Roraima,Boa Vista,Santa Tereza
RR,Roraima,Boa Vista,São Francisco
RR,Roraima,Boa Vista,São Pedro
RR,Roraima,Boa Vista,São Vicente
RR,Roraima,Boa Vista,Sem Bairro
RR,Roraima,Boa Vista,Senador Hélio Campos
RR,Roraima,Boa Vista,Silvio Botelho
RR,Roraima,Boa Vista,Silvio Leite
